gallery_images_per_identity,trials,identity_count,gallery_image_count,top_1_mean,top_1_std,top_1_min,top_1_max,top_3_mean,top_3_std,top_3_min,top_3_max,top_5_mean,top_5_std,top_5_min,top_5_max,top_10_mean,top_10_std,top_10_min,top_10_max,mrr_mean,mrr_std,mrr_min,mrr_max,mean_true_identity_rank_mean,mean_true_identity_rank_std,mean_true_identity_rank_min,mean_true_identity_rank_max,median_true_identity_rank_mean,median_true_identity_rank_std,median_true_identity_rank_min,median_true_identity_rank_max,incremental_top_1_gain,incremental_mrr_gain
1,30,123,123,0.9444444444444445,0.014175817075052666,0.9105691056910569,0.967479674796748,0.9596205962059621,0.010346435598049056,0.9349593495934959,0.975609756097561,0.962330623306233,0.010123745923249923,0.943089430894309,0.975609756097561,0.9631436314363142,0.01040136308860963,0.943089430894309,0.975609756097561,0.9532046747261192,0.011323253477126753,0.9280934273124383,0.972124705074544,2.894850948509485,0.7920538598776299,1.6016260162601625,4.691056910569106,1.0,0.0,1.0,1.0,,
2,30,123,246,0.9799457994579949,0.007618718748875137,0.959349593495935,0.991869918699187,0.9829268292682928,0.00445302892280623,0.975609756097561,0.991869918699187,0.9829268292682928,0.00445302892280623,0.975609756097561,0.991869918699187,0.9829268292682928,0.00445302892280623,0.975609756097561,0.991869918699187,0.981795932755146,0.006007622787653622,0.9668978101458768,0.9922764227642277,1.6224932249322492,0.2219818023390447,1.1544715447154472,2.016260162601626,1.0,0.0,1.0,1.0,0.03550135501355034,0.028591258029026734
3,30,123,369,0.9853658536585367,0.003936863399280484,0.975609756097561,0.991869918699187,0.9856368563685637,0.0034974233101794537,0.983739837398374,0.991869918699187,0.9856368563685637,0.0034974233101794537,0.983739837398374,0.991869918699187,0.9856368563685637,0.0034974233101794537,0.983739837398374,0.991869918699187,0.9859668915053578,0.003563995152473748,0.9802528095211022,0.9922978177150192,1.5289972899728996,0.20460924304341246,1.146341463414634,1.829268292682927,1.0,0.0,1.0,1.0,0.005420054200541813,0.004170958750211784
4,30,123,492,0.9861788617886179,0.004349455940015617,0.975609756097561,0.991869918699187,0.9864498644986451,0.0038980756218323595,0.983739837398374,0.991869918699187,0.9864498644986451,0.0038980756218323595,0.983739837398374,0.991869918699187,0.9864498644986451,0.0038980756218323595,0.983739837398374,0.991869918699187,0.9867515758405865,0.0039829438770951795,0.9802130531186736,0.9922764227642277,1.4710027100271006,0.21863235538411202,1.1544715447154472,1.8617886178861789,1.0,0.0,1.0,1.0,0.0008130081300812275,0.0007846843352287136
5,30,123,615,0.9875338753387535,0.004125335474836754,0.983739837398374,0.991869918699187,0.9875338753387535,0.004125335474836754,0.983739837398374,0.991869918699187,0.9875338753387535,0.004125335474836754,0.983739837398374,0.991869918699187,0.9875338753387535,0.004125335474836754,0.983739837398374,0.991869918699187,0.9879290900544986,0.004038703498956823,0.9841438639421557,0.9922234004948745,1.4252032520325206,0.2136893981984245,1.1788617886178863,1.8455284552845528,1.0,0.0,1.0,1.0,0.0013550135501355642,0.0011775142139121009
