candidate_count,probe_count,correct_probes,missed_probes,top_n_accuracy,newly_recovered_probes,accuracy_gain_from_previous_n,candidate_review_slots,candidate_increase_from_previous_selected_n,recovered_probes_from_previous_selected_n,accuracy_gain_from_previous_selected_n,is_recommended_default
1,999,932,67,0.9329329329329329,932,0.9329329329329329,999,1,932,0.9329329329329329,False
2,999,943,56,0.943943943943944,11,0.011011011011011011,1998,1,11,0.011011011011011011,False
3,999,947,52,0.9479479479479479,4,0.004004004004004004,2997,1,4,0.004004004004004004,False
5,999,950,49,0.950950950950951,1,0.001001001001001001,4995,2,3,0.003003003003003003,True
10,999,953,46,0.953953953953954,1,0.001001001001001001,9990,5,3,0.003003003003003003,False
20,999,953,46,0.953953953953954,0,0.0,19980,10,0,0.0,False
50,999,955,44,0.955955955955956,1,0.001001001001001001,49950,30,2,0.002002002002002002,False
