model,condition,probe_count,rank_1_changed_rate,clean_correct_count,clean_correct_retained_count,clean_correct_retention,mean_cosine_embedding_drift
casia-webface,brightness_0_60,999,0.46546546546546547,227,175,0.7709251101321586,0.04047297686338425
casia-webface,brightness_1_40,999,0.5815815815815816,227,141,0.6211453744493393,0.0707530528306961
casia-webface,gaussian_blur_radius_2,999,0.6596596596596597,227,131,0.5770925110132159,0.10423966497182846
casia-webface,resize_down_64_up_250,999,0.6946946946946947,227,118,0.5198237885462555,0.13189895451068878
vggface2,brightness_0_60,999,0.0980980980980981,822,782,0.9513381995133819,0.021813632920384407
vggface2,brightness_1_40,999,0.11211211211211211,822,774,0.9416058394160584,0.03488980233669281
vggface2,gaussian_blur_radius_2,999,0.14514514514514515,822,751,0.9136253041362531,0.05052947998046875
vggface2,resize_down_64_up_250,999,0.1781781781781782,822,728,0.8856447688564477,0.06999499350786209
