split,image_count,detected_count,fallback_count,detector_error_count,face_not_detected_count,detection_rate,fallback_rate,coverage_rate,mean_detection_confidence,median_detection_confidence,minimum_detection_confidence,mean_crop_area_ratio,median_crop_area_ratio
gallery,2265,2264,1,0,1,0.9995584988962473,0.0004415011037527594,1.0,0.9994538730477697,0.9999616742134094,0.9034154415130615,0.24031874911660778,0.237184
probe,999,999,0,0,0,1.0,0.0,1.0,0.9994406654192759,0.9999611377716064,0.8759309649467468,0.24375215215215215,0.240672
all,3264,3263,1,0,1,0.9996936274509803,0.00030637254901960784,1.0,0.9994498294005538,0.9999616146087646,0.8759309649467468,0.24136991970579222,0.238464
